Account Number,Date,Outage Start Time,Outage End Time,Customer Location,Outage Reason,Informed By Mail-SMS,1st Informed Date,2nd Informed Date
12345678,5/2/2024,10:00:00 PM,11:00:00 PM,Charlotte,Weather Inferences,Y,4/30/2024,5/1/2024
12345679,5/4/2024,10:15:00 PM,11:15:00 PM,Saint Louis,Heavy Snow,Y,5/2/2024,5/3/2024
12345680,5/6/2024,9:55:30 AM,10:15:00 AM,Connecticut ,Restart Device,Y,5/4/2024,5/5/2024
12345681,5/8/2024,3:00:00 AM,5:00:00 AM,Tampa,Software Update,Y,5/6/2024,5/7/2024
12345682,5/10/2024,9:55:30 AM,10:15:00 AM,Dallas,Monthly Maintenance,Y,5/8/2024,5/9/2024
12345683,5/12/2024,10:00:00 PM,11:00:00 PM,Charlotte,Weather Inferences,Y,5/10/2024,5/11/2024
12345684,5/14/2024,10:15:00 PM,11:15:00 PM,Saint Louis,Heavy Snow,Y,5/12/2024,5/13/2024
12345685,5/16/2024,9:55:30 AM,10:15:00 AM,Connecticut ,Restart Device,Y,5/14/2024,5/15/2024
12345686,5/18/2024,3:00:00 AM,5:00:00 AM,Tampa,Software Update,Y,5/16/2024,5/17/2024
12345687,5/20/2024,9:55:30 AM,10:15:00 AM,Dallas,Monthly Maintenance,Y,5/18/2024,5/19/2024
12345688,5/22/2024,10:00:00 PM,11:00:00 PM,Charlotte,Weather Inferences,Y,5/20/2024,5/21/2024
12345689,5/24/2024,10:15:00 PM,11:15:00 PM,Saint Louis,Heavy Snow,Y,5/22/2024,5/23/2024
12345690,5/26/2024,9:55:30 AM,10:15:00 AM,Connecticut ,Restart Device,Y,5/24/2024,5/25/2024
12345691,5/28/2024,3:00:00 AM,5:00:00 AM,Tampa,Software Update,Y,5/26/2024,5/27/2024
12345692,5/30/2024,9:55:30 AM,10:15:00 AM,Dallas,Monthly Maintenance,Y,5/28/2024,5/29/2024
12345693,6/1/2024,10:00:00 PM,11:00:00 PM,Charlotte,Weather Inferences,Y,5/30/2024,5/31/2024
12345694,6/6/2024,10:15:00 PM,11:15:00 PM,Saint Louis,Schedule Maintenance,Y,6/4/2024,6/5/2024
12345695,6/5/2024,9:55:30 AM,10:15:00 AM,Connecticut ,Restart Device,Y,6/3/2024,6/4/2024
12345696,6/7/2024,3:00:00 AM,5:00:00 AM,Tampa,Software Update,Y,6/5/2024,6/6/2024
12345697,6/9/2024,9:55:30 AM,10:15:00 AM,Dallas,Monthly Maintenance,Y,6/7/2024,6/8/2024
12345698,6/11/2024,10:00:00 PM,11:00:00 PM,Charlotte,Weather Inferences,Y,6/9/2024,6/10/2024
12345700,6/6/2024,10:15:00 PM,11:15:00 PM,Saint Louis,Schedule Maintenance,Y,6/4/2024,6/5/2024
12345699,6/15/2024,9:55:30 AM,10:15:00 AM,Connecticut ,Restart Device,Y,6/13/2024,6/14/2024
12345701,6/17/2024,3:00:00 AM,5:00:00 AM,Tampa,Software Update,Y,6/15/2024,6/16/2024
12345702,6/19/2024,9:55:30 AM,10:15:00 AM,Dallas,Monthly Maintenance,Y,6/17/2024,6/18/2024
12345703,6/21/2024,10:00:00 PM,11:00:00 PM,Saint Louis,Weather Inferences,Y,6/19/2024,6/20/2024
12345704,6/23/2024,10:15:00 PM,11:15:00 PM,Saint Louis,Heavy Snow,Y,6/21/2024,6/22/2024
12345705,6/25/2024,9:55:30 AM,10:15:00 AM,Connecticut ,Restart Device,Y,6/23/2024,6/24/2024
12345706,6/27/2024,3:00:00 AM,5:00:00 AM,Tampa,Software Update,Y,6/25/2024,6/26/2024
12345707,6/29/2024,9:55:30 AM,10:15:00 AM,Dallas,Monthly Maintenance,Y,6/27/2024,6/28/2024
